Tweet_ID,Tanggal,Tahun,Bulan,Nama_Bulan,Platform,Provinsi_User,Teks,Sentimen,Likes,Retweet_Share,Replies,Hashtags,Verified_Account,Follower_Category
TW-000001,2024-08-01,2024,8,August,Twitter/X,Nusa Tenggara Timur,"Kualitas makanan MBG perlu ditingkatkan, tidak selalu bergizi #AntiStunting",Negatif,78,2,3,#AntiStunting,False,Small (1k-10k)
TW-000002,2025-05-01,2025,5,May,Twitter/X,Lampung,Update terbaru pelaksanaan program MBG di Jawa Barat #ProgramPemerintah,Netral,4,15,5,#ProgramPemerintah,False,Medium (10k-100k)
TW-000003,2024-12-01,2024,12,December,Facebook,Nusa Tenggara Timur,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #GiziGratis,Positif,24,8,3,#GiziGratis,True,Large (>100k)
TW-000004,2024-01-01,2024,1,January,Instagram,Jawa Tengah,Anak stunting berkurang berkat program gizi gratis ini #GiziGratis #ProgramPemerintah,Positif,73,7,10,#GiziGratis #ProgramPemerintah,False,Small (1k-10k)
TW-000005,2024-04-01,2024,4,April,Facebook,Kalimantan Timur,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #ProgramPemerintah,Positif,23,71,5,#ProgramPemerintah,True,Micro (<1k)
TW-000006,2024-05-01,2024,5,May,Instagram,Jawa Tengah,"Jangan hanya proyek, harus ada dampak nyata pengurangan stunting #MBG",Negatif,130,7,7,#MBG,False,Micro (<1k)
TW-000007,2024-10-01,2024,10,October,Instagram,Kalimantan Timur,MBG berdampak positif bagi masyarakat kurang mampu di daerah kami #AnakIndonesia,Positif,19,50,10,#AnakIndonesia,False,Micro (<1k)
TW-000008,2025-01-01,2025,1,January,Instagram,DKI Jakarta,Distribusi MBG di daerah kami sering terlambat dan tidak merata 😤 #AntiStunting #AnakIndonesia,Negatif,84,21,7,#AntiStunting #AnakIndonesia,False,Small (1k-10k)
TW-000009,2024-06-01,2024,6,June,TikTok,Bali,"Program MBG sangat inovatif, semoga terus berlanjut #ProgramPemerintah #MakanBergiziGratis",Positif,62,1,8,#ProgramPemerintah #MakanBergiziGratis,False,Micro (<1k)
TW-000010,2024-05-01,2024,5,May,Twitter/X,Bali,Distribusi MBG di daerah kami sering terlambat dan tidak merata 😤 #ProgramGizi #MakanBergiziGratis,Negatif,206,17,5,#ProgramGizi #MakanBergiziGratis,False,Small (1k-10k)
TW-000011,2024-02-01,2024,2,February,Twitter/X,Sulawesi Selatan,MBG berdampak positif bagi masyarakat kurang mampu di daerah kami #AnakIndonesia #GiziGratis,Positif,63,31,12,#AnakIndonesia #GiziGratis,False,Micro (<1k)
TW-000012,2024-10-01,2024,10,October,Twitter/X,DKI Jakarta,MBG berdampak positif bagi masyarakat kurang mampu di daerah kami #IndonesiaSehat,Positif,9,4,11,#IndonesiaSehat,False,Small (1k-10k)
TW-000013,2024-04-01,2024,4,April,Twitter/X,Kalimantan Timur,"Program MBG sangat inovatif, semoga terus berlanjut #ProgramGizi",Positif,2,1,1,#ProgramGizi,False,Medium (10k-100k)
TW-000014,2024-04-01,2024,4,April,Twitter/X,Sumatera Selatan,Ada yang tahu syarat penerima manfaat MBG untuk balita? #GiziAnak #MakanBergiziGratis #BalitaSehat,Netral,67,16,16,#GiziAnak #MakanBergiziGratis #BalitaSehat,False,Medium (10k-100k)
TW-000015,2025-03-01,2025,3,March,TikTok,Sumatera Selatan,"Gizi anak meningkat sejak ada MBG, anak lebih fokus belajar #BalitaSehat #AnakIndonesia",Positif,40,18,0,#BalitaSehat #AnakIndonesia,False,Micro (<1k)
TW-000016,2024-12-01,2024,12,December,Instagram,Sumatera Selatan,Program MBG sudah mulai di provinsi saya bulan ini #GiziAnak,Netral,31,18,9,#GiziAnak,False,Small (1k-10k)
TW-000017,2024-11-01,2024,11,November,Twitter/X,Sulawesi Tengah,Informasi jadwal distribusi MBG di kecamatan? #IndonesiaSehat #BalitaSehat #GiziGratis,Netral,241,37,14,#IndonesiaSehat #BalitaSehat #GiziGratis,False,Large (>100k)
TW-000018,2025-01-01,2025,1,January,Twitter/X,Riau,Ada yang tahu syarat penerima manfaat MBG untuk balita? #AnakIndonesia #ProgramGizi,Netral,34,2,3,#AnakIndonesia #ProgramGizi,False,Small (1k-10k)
TW-000019,2024-04-01,2024,4,April,Instagram,Lampung,Makanan MBG kadang tidak sesuai kebutuhan gizi lokal #BalitaSehat #ProgramGizi,Negatif,41,7,12,#BalitaSehat #ProgramGizi,False,Micro (<1k)
TW-000020,2025-06-01,2025,6,June,Twitter/X,Sumatera Selatan,Ada yang tahu syarat penerima manfaat MBG untuk balita? #MakanBergiziGratis #IndonesiaSehat #MBG,Netral,34,50,9,#MakanBergiziGratis #IndonesiaSehat #MBG,False,Micro (<1k)
TW-000021,2025-02-01,2025,2,February,Instagram,Nusa Tenggara Barat,MBG berdampak positif bagi masyarakat kurang mampu di daerah kami #BalitaSehat #GiziGratis,Positif,14,8,10,#BalitaSehat #GiziGratis,False,Micro (<1k)
TW-000022,2024-05-01,2024,5,May,Twitter/X,Riau,Program MBG bagus tapi implementasi masih banyak masalah #AntiStunting #MakanBergiziGratis,Negatif,58,0,3,#AntiStunting #MakanBergiziGratis,False,Micro (<1k)
TW-000023,2025-03-01,2025,3,March,TikTok,Sulawesi Selatan,MBG berdampak positif bagi masyarakat kurang mampu di daerah kami #GiziGratis,Positif,64,7,4,#GiziGratis,False,Micro (<1k)
TW-000024,2025-06-01,2025,6,June,Twitter/X,Jawa Barat,Proses verifikasi penerima MBG berapa lama? #GiziAnak #ProgramPemerintah #MakanBergiziGratis,Netral,1,17,5,#GiziAnak #ProgramPemerintah #MakanBergiziGratis,False,Small (1k-10k)
TW-000025,2025-05-01,2025,5,May,Facebook,Riau,"Posyandu kami ramai berkat MBG, ibu-ibu antusias hadir #ProgramGizi",Positif,93,2,9,#ProgramGizi,False,Micro (<1k)
TW-000026,2024-11-01,2024,11,November,Instagram,Papua,"Jangan hanya proyek, harus ada dampak nyata pengurangan stunting #AnakIndonesia",Negatif,87,22,1,#AnakIndonesia,False,Micro (<1k)
TW-000027,2024-01-01,2024,1,January,Twitter/X,Sumatera Utara,Ada indikasi penyelewengan distribusi MBG di beberapa daerah #AnakIndonesia #GiziAnak,Negatif,125,13,14,#AnakIndonesia #GiziAnak,False,Medium (10k-100k)
TW-000028,2024-11-01,2024,11,November,Twitter/X,Sumatera Utara,Bagaimana mekanisme pendaftaran MBG untuk wilayah terpencil? #BalitaSehat #ProgramPemerintah,Netral,85,19,0,#BalitaSehat #ProgramPemerintah,False,Small (1k-10k)
TW-000029,2025-03-01,2025,3,March,Twitter/X,Kalimantan Timur,Apa saja jenis makanan yang diberikan dalam program MBG? #AnakIndonesia #AntiStunting,Netral,2,0,4,#AnakIndonesia #AntiStunting,False,Large (>100k)
TW-000030,2025-06-01,2025,6,June,Instagram,Riau,Anak stunting berkurang berkat program gizi gratis ini #AnakIndonesia,Positif,95,22,6,#AnakIndonesia,False,Medium (10k-100k)
TW-000031,2024-06-01,2024,6,June,Instagram,Nusa Tenggara Timur,"Kualitas makanan MBG perlu ditingkatkan, tidak selalu bergizi #GiziGratis #BalitaSehat #MakanBergiziGratis",Negatif,54,5,12,#GiziGratis #BalitaSehat #MakanBergiziGratis,False,Medium (10k-100k)
TW-000032,2024-12-01,2024,12,December,Twitter/X,Kalimantan Barat,"Salut dengan program MBG, distribusi di desa kami sudah lancar #GiziGratis #GiziAnak #ProgramPemerintah",Positif,94,28,4,#GiziGratis #GiziAnak #ProgramPemerintah,False,Medium (10k-100k)
TW-000033,2024-12-01,2024,12,December,Instagram,Aceh,Program MBG sudah mulai di provinsi saya bulan ini #GiziAnak #IndonesiaSehat #AntiStunting,Netral,32,2,3,#GiziAnak #IndonesiaSehat #AntiStunting,True,Micro (<1k)
TW-000034,2024-11-01,2024,11,November,Twitter/X,Riau,"MBG baru diluncurkan di daerah kami, masih menunggu perkembangan #IndonesiaSehat",Netral,71,9,7,#IndonesiaSehat,False,Medium (10k-100k)
TW-000035,2025-02-01,2025,2,February,Instagram,DKI Jakarta,"Kualitas makanan MBG perlu ditingkatkan, tidak selalu bergizi #AntiStunting",Negatif,160,2,2,#AntiStunting,True,Small (1k-10k)
TW-000036,2025-04-01,2025,4,April,Facebook,Lampung,"Posyandu kami ramai berkat MBG, ibu-ibu antusias hadir #BalitaSehat",Positif,17,31,3,#BalitaSehat,False,Medium (10k-100k)
TW-000037,2025-02-01,2025,2,February,Instagram,Jawa Tengah,Kenapa program MBG belum sampai ke wilayah terpencil kami? #MBG #GiziAnak #IndonesiaSehat,Negatif,45,8,9,#MBG #GiziAnak #IndonesiaSehat,False,Micro (<1k)
TW-000038,2025-06-01,2025,6,June,Facebook,Papua,Anggaran MBG 2025 berapa ya? Ada yang tahu? #GiziGratis,Netral,10,9,2,#GiziGratis,False,Micro (<1k)
TW-000039,2024-02-01,2024,2,February,Instagram,Kalimantan Barat,Kapan program MBG mulai menjangkau kabupaten kami? #ProgramPemerintah,Netral,0,27,28,#ProgramPemerintah,False,Medium (10k-100k)
TW-000040,2025-01-01,2025,1,January,TikTok,Nusa Tenggara Barat,Anak stunting berkurang berkat program gizi gratis ini #BalitaSehat #GiziAnak #MBG,Positif,46,7,13,#BalitaSehat #GiziAnak #MBG,False,Small (1k-10k)
TW-000041,2025-02-01,2025,2,February,Facebook,Jawa Timur,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #MBG,Positif,23,14,0,#MBG,False,Small (1k-10k)
TW-000042,2025-05-01,2025,5,May,Twitter/X,Nusa Tenggara Timur,Anggaran MBG 2025 berapa ya? Ada yang tahu? #ProgramGizi,Netral,40,5,2,#ProgramGizi,False,Micro (<1k)
TW-000043,2025-01-01,2025,1,January,Facebook,Sulawesi Selatan,Apa saja jenis makanan yang diberikan dalam program MBG? #MBG #AnakIndonesia #BalitaSehat,Netral,272,5,2,#MBG #AnakIndonesia #BalitaSehat,False,Large (>100k)
TW-000044,2025-05-01,2025,5,May,Twitter/X,Riau,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #AntiStunting #GiziAnak,Positif,111,1,0,#AntiStunting #GiziAnak,False,Small (1k-10k)
TW-000045,2024-11-01,2024,11,November,Instagram,Papua,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #ProgramGizi,Positif,23,1,10,#ProgramGizi,False,Small (1k-10k)
TW-000046,2024-01-01,2024,1,January,YouTube,Jawa Barat,"Salut dengan program MBG, distribusi di desa kami sudah lancar #IndonesiaSehat",Positif,21,1,6,#IndonesiaSehat,False,Medium (10k-100k)
TW-000047,2024-08-01,2024,8,August,Instagram,Sumatera Selatan,Bagaimana mekanisme pendaftaran MBG untuk wilayah terpencil? #GiziGratis #BalitaSehat #GiziAnak,Netral,8,16,3,#GiziGratis #BalitaSehat #GiziAnak,False,Micro (<1k)
TW-000048,2024-08-01,2024,8,August,Instagram,Sulawesi Tengah,Anak stunting berkurang berkat program gizi gratis ini #AnakIndonesia #GiziGratis #AntiStunting,Positif,9,13,0,#AnakIndonesia #GiziGratis #AntiStunting,False,Small (1k-10k)
TW-000049,2025-02-01,2025,2,February,Twitter/X,Jawa Tengah,"Salut dengan program MBG, distribusi di desa kami sudah lancar #AnakIndonesia #BalitaSehat #ProgramPemerintah",Positif,33,6,6,#AnakIndonesia #BalitaSehat #ProgramPemerintah,False,Large (>100k)
TW-000050,2025-05-01,2025,5,May,Twitter/X,Nusa Tenggara Timur,"Jangan hanya proyek, harus ada dampak nyata pengurangan stunting #AntiStunting #ProgramPemerintah",Negatif,76,5,0,#AntiStunting #ProgramPemerintah,False,Micro (<1k)
TW-000051,2024-10-01,2024,10,October,Twitter/X,Jawa Tengah,"Gizi anak meningkat sejak ada MBG, anak lebih fokus belajar #GiziAnak #ProgramPemerintah",Positif,7,55,6,#GiziAnak #ProgramPemerintah,False,Large (>100k)
TW-000052,2024-03-01,2024,3,March,Instagram,Kalimantan Timur,"Kualitas makanan MBG perlu ditingkatkan, tidak selalu bergizi #MBG #GiziGratis #GiziAnak",Negatif,12,18,29,#MBG #GiziGratis #GiziAnak,False,Small (1k-10k)
TW-000053,2024-02-01,2024,2,February,Instagram,Lampung,Terima kasih pemerintah atas program makan bergizi gratis #AntiStunting #BalitaSehat,Positif,31,7,2,#AntiStunting #BalitaSehat,False,Micro (<1k)
TW-000054,2025-04-01,2025,4,April,TikTok,Aceh,Apa saja jenis makanan yang diberikan dalam program MBG? #GiziAnak,Netral,1,7,6,#GiziAnak,False,Micro (<1k)
TW-000055,2024-01-01,2024,1,January,Twitter/X,Kalimantan Timur,Bagaimana mekanisme pendaftaran MBG untuk wilayah terpencil? #BalitaSehat,Netral,23,5,5,#BalitaSehat,False,Medium (10k-100k)
TW-000056,2024-01-01,2024,1,January,Twitter/X,Jawa Tengah,Bagaimana mekanisme pendaftaran MBG untuk wilayah terpencil? #BalitaSehat #GiziGratis #GiziAnak,Netral,56,0,2,#BalitaSehat #GiziGratis #GiziAnak,False,Micro (<1k)
TW-000057,2024-08-01,2024,8,August,YouTube,Nusa Tenggara Barat,Anak stunting berkurang berkat program gizi gratis ini #AnakIndonesia #MakanBergiziGratis,Positif,36,15,24,#AnakIndonesia #MakanBergiziGratis,False,Micro (<1k)
TW-000058,2024-09-01,2024,9,September,Twitter/X,Kalimantan Barat,Program MBG sangat membantu keluarga kami! Anak-anak lebih sehat 🙏 #IndonesiaSehat,Positif,88,50,13,#IndonesiaSehat,False,Micro (<1k)
TW-000059,2024-10-01,2024,10,October,Instagram,Nusa Tenggara Timur,MBG adalah program pro-rakyat yang benar-benar dirasakan manfaatnya 💪 #MBG #AntiStunting,Positif,11,20,11,#MBG #AntiStunting,False,Large (>100k)
